Latitude (decimal degrees):	-22.760
Longitude (decimal degrees):	-41.888
Elevation (m):	7
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2750.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230109:1603,1344640.0,624.0,74.02,23.1,3.93,0.0
20230109:1703,1276852.5,587.0,60.21,23.04,4.9,0.0
20230109:1803,862125.0,399.0,46.48,22.99,4.55,0.0
20230109:1903,937942.5,432.0,32.89,23.09,4.9,0.0
20230109:2003,121330.0,71.0,19.49,23.01,4.69,0.0
20230109:2103,73067.5,55.0,6.41,23.1,4.41,0.0
20230109:2203,0.0,0.0,0.0,23.32,3.24,0.0
20230109:2303,0.0,0.0,0.0,23.36,2.83,0.0
20230110:0003,0.0,0.0,0.0,23.35,1.86,0.0
20230110:0103,0.0,0.0,0.0,23.33,1.1,0.0
20230110:0203,0.0,0.0,0.0,23.35,0.69,0.0
20230110:0303,0.0,0.0,0.0,23.27,0.69,0.0
20230110:0403,0.0,0.0,0.0,23.2,1.45,0.0
20230110:0503,0.0,0.0,0.0,23.15,1.52,0.0
20230110:0603,0.0,0.0,0.0,23.1,1.45,0.0
20230110:0703,0.0,0.0,0.0,23.09,1.72,0.0
20230110:0803,0.0,0.0,0.0,23.07,2.28,0.0
20230110:0903,113740.0,69.0,10.21,23.11,2.69,0.0
20230110:1003,170665.0,94.0,23.41,23.4,2.07,0.0
20230110:1103,685080.0,324.0,36.89,23.52,2.07,0.0
20230110:1203,884592.5,415.0,50.54,23.62,2.34,0.0
20230110:1303,1166192.5,546.0,64.3,23.75,2.76,0.0
20230110:1403,576840.0,275.0,78.12,23.89,3.52,0.0
20230110:1503,1175597.5,548.0,87.83,24.1,4.07,0.0
20230110:1603,954387.5,445.0,74.1,24.13,4.34,0.0
20230110:1703,948805.0,442.0,60.28,24.23,4.34,0.0
20230110:1803,455510.0,221.0,46.55,24.25,4.21,0.0
20230110:1903,284075.0,145.0,32.94,24.23,4.34,0.0
20230110:2003,39270.0,31.0,19.54,24.21,4.97,0.0
20230110:2103,79970.0,65.0,6.44,24.17,5.72,0.0
20230110:2203,0.0,0.0,0.0,24.48,6.55,0.0
20230110:2303,0.0,0.0,0.0,24.55,6.55,0.0
20230111:0003,0.0,0.0,0.0,24.52,6.21,0.0
20230111:0103,0.0,0.0,0.0,24.44,6.41,0.0
20230111:0203,0.0,0.0,0.0,24.35,6.48,0.0
20230111:0303,0.0,0.0,0.0,24.25,6.34,0.0
20230111:0403,0.0,0.0,0.0,24.19,6.0,0.0
20230111:0503,0.0,0.0,0.0,24.12,6.07,0.0
20230111:0603,0.0,0.0,0.0,24.0,6.69,0.0
20230111:0703,0.0,0.0,0.0,23.93,7.03,0.0
20230111:0803,0.0,0.0,0.0,23.87,7.17,0.0
20230111:0903,120257.5,73.0,10.07,23.85,7.1,0.0
20230111:1003,257702.5,133.0,23.28,24.22,7.03,0.0
20230111:1103,551375.0,262.0,36.76,24.4,7.03,0.0
20230111:1203,783337.5,365.0,50.42,24.7,6.9,0.0
20230111:1303,1081355.0,501.0,64.19,25.16,6.34,0.0
20230111:1403,1781285.0,833.0,78.02,25.54,5.38,0.0
20230111:1503,1848275.0,870.0,87.85,25.67,4.9,0.0
20230111:1603,2165102.5,1017.0,74.17,25.51,5.38,0.0
20230111:1703,1858587.5,859.0,60.35,25.34,5.93,0.0
20230111:1803,1602425.0,735.0,46.61,25.14,5.52,0.0
20230111:1903,70207.5,47.0,32.99,25.02,4.97,0.0
20230111:2003,99000.0,61.0,19.58,24.88,3.93,0.0
20230111:2103,165.0,6.0,6.46,24.78,2.9,0.0
20230111:2203,0.0,0.0,0.0,24.55,4.0,0.0
20230111:2303,0.0,0.0,0.0,24.38,4.9,0.0
20230112:0003,0.0,0.0,0.0,24.42,5.31,0.0
20230112:0103,0.0,0.0,0.0,24.48,4.76,0.0
20230112:0203,0.0,0.0,0.0,24.4,4.34,0.0
20230112:0303,0.0,0.0,0.0,24.18,4.62,0.0
20230112:0403,0.0,0.0,0.0,24.27,4.55,0.0
20230112:0503,0.0,0.0,0.0,24.28,5.03,0.0
20230112:0603,0.0,0.0,0.0,24.17,4.97,0.0
20230112:0703,0.0,0.0,0.0,24.13,4.97,0.0
20230112:0803,0.0,0.0,0.0,24.05,5.03,0.0
20230112:0903,122952.5,75.0,9.93,23.98,5.1,0.0
20230112:1003,526762.5,255.0,23.15,24.16,5.03,0.0
20230112:1103,1035430.0,477.0,36.64,24.42,5.24,0.0
20230112:1203,1288787.5,594.0,50.31,24.8,5.24,0.0
20230112:1303,1097662.5,511.0,64.08,25.25,5.1,0.0
20230112:1403,1253147.5,585.0,77.91,25.68,5.17,0.0
20230112:1503,1386715.0,649.0,87.85,26.01,5.17,0.0
20230112:1603,1283865.0,600.0,74.24,26.09,5.24,0.0
20230112:1703,1763712.5,820.0,60.42,25.94,5.45,0.0
20230112:1803,1296295.0,596.0,46.67,25.57,6.14,0.0
20230112:1903,1169767.5,536.0,33.04,25.33,7.86,0.0
20230112:2003,365860.0,184.0,19.61,25.29,8.34,0.0
20230112:2103,165.0,6.0,6.49,25.18,8.34,0.0
20230112:2203,0.0,0.0,0.0,25.28,7.93,0.0
20230112:2303,0.0,0.0,0.0,25.1,8.21,0.0
20230113:0003,0.0,0.0,0.0,24.92,8.0,0.0
20230113:0103,0.0,0.0,0.0,24.81,7.86,0.0
20230113:0203,0.0,0.0,0.0,24.73,7.24,0.0
20230113:0303,0.0,0.0,0.0,24.67,6.48,0.0
20230113:0403,0.0,0.0,0.0,24.59,5.79,0.0
20230113:0503,0.0,0.0,0.0,24.5,4.97,0.0
20230113:0603,0.0,0.0,0.0,24.39,4.55,0.0
20230113:0703,0.0,0.0,0.0,24.3,4.34,0.0
20230113:0803,0.0,0.0,0.0,24.22,4.76,0.0
20230113:0903,132385.0,81.0,9.79,24.22,5.59,0.0
20230113:1003,368582.5,183.0,23.02,24.62,6.14,0.0
20230113:1103,779075.0,364.0,36.52,24.83,5.17,0.0
20230113:1203,1206232.5,557.0,50.19,25.19,5.52,0.0
20230113:1303,1771137.5,821.0,63.97,25.51,5.93,0.0
20230113:1403,1719245.0,802.0,77.8,25.89,5.93,0.0
20230113:1503,2243010.0,1055.0,87.83,26.08,6.07,0.0
20230113:1603,2164635.0,1009.0,74.3,26.07,6.69,0.0
20230113:1703,2012807.5,926.0,60.48,26.01,7.52,0.0
20230113:1803,1654510.0,751.0,46.72,25.67,8.28,0.0
20230113:1903,1125492.5,515.0,33.09,25.51,8.97,0.0
20230113:2003,90557.5,57.0,19.65,25.54,8.76,0.0
20230113:2103,2227.5,8.0,6.51,25.48,8.14,0.0
20230113:2203,0.0,0.0,0.0,25.54,8.0,0.0
20230113:2303,0.0,0.0,0.0,25.37,7.72,0.0
20230114:0003,0.0,0.0,0.0,25.2,7.93,0.0
20230114:0103,0.0,0.0,0.0,25.09,8.0,0.0
20230114:0203,0.0,0.0,0.0,24.98,8.0,0.0
20230114:0303,0.0,0.0,0.0,24.87,8.21,0.0
20230114:0403,0.0,0.0,0.0,24.78,8.48,0.0
20230114:0503,0.0,0.0,0.0,24.69,8.41,0.0
20230114:0603,0.0,0.0,0.0,24.63,8.55,0.0
20230114:0703,0.0,0.0,0.0,24.61,8.62,0.0
20230114:0803,0.0,0.0,0.0,24.58,8.48,0.0
20230114:0903,183892.5,121.0,9.65,24.59,8.41,0.0
20230114:1003,706695.0,339.0,22.89,24.21,8.76,0.0
20230114:1103,1250177.5,566.0,36.4,24.32,8.62,0.0
20230114:1203,1696530.0,766.0,50.08,24.54,8.62,0.0
20230114:1303,1966690.0,896.0,63.86,24.87,8.69,0.0
20230114:1403,2218562.5,1020.0,77.69,25.27,8.62,0.0
20230114:1503,2280905.0,1052.0,87.79,25.47,8.62,0.0
20230114:1603,2160867.5,991.0,74.36,25.48,9.03,0.0
20230114:1703,1992650.0,905.0,60.54,25.35,9.45,0.0
20230114:1803,1664052.5,750.0,46.77,25.26,9.72,0.0
20230114:1903,1105610.0,504.0,33.13,24.99,9.86,0.0
20230114:2003,447067.5,222.0,19.68,24.86,10.21,0.0
20230114:2103,36520.0,30.0,6.52,24.69,10.34,0.0
20230114:2203,0.0,0.0,0.0,24.62,10.21,0.0
20230114:2303,0.0,0.0,0.0,24.46,10.14,0.0
20230115:0003,0.0,0.0,0.0,24.34,9.59,0.0
20230115:0103,0.0,0.0,0.0,24.3,9.31,0.0
20230115:0203,0.0,0.0,0.0,24.22,9.24,0.0
20230115:0303,0.0,0.0,0.0,24.16,9.1,0.0
20230115:0403,0.0,0.0,0.0,24.1,9.03,0.0
20230115:0503,0.0,0.0,0.0,24.04,8.69,0.0
20230115:0603,0.0,0.0,0.0,23.97,8.62,0.0
20230115:0703,0.0,0.0,0.0,23.91,8.69,0.0
20230115:0803,0.0,0.0,0.0,23.89,8.83,0.0
20230115:0903,173415.0,111.0,9.51,23.88,8.97,0.0
20230115:1003,701002.5,335.0,22.76,23.67,9.24,0.0
20230115:1103,1238517.5,559.0,36.28,23.76,9.24,0.0
20230115:1203,1744737.5,785.0,49.96,24.0,9.03,0.0
20230115:1303,2097727.5,953.0,63.76,24.29,8.97,0.0
20230115:1403,2295810.0,1051.0,77.58,24.52,9.1,0.0
20230115:1503,2348060.0,1078.0,87.72,24.67,9.1,0.0
20230115:1603,2284700.0,1045.0,74.42,24.8,9.38,0.0
20230115:1703,2071410.0,939.0,60.59,24.8,9.66,0.0
20230115:1803,1697382.5,763.0,46.82,24.61,9.79,0.0
20230115:1903,1060097.5,483.0,33.16,24.43,9.79,0.0
20230115:2003,155512.5,87.0,19.7,24.34,9.79,0.0
20230115:2103,165.0,6.0,6.53,24.22,9.79,0.0
20230115:2203,0.0,0.0,0.0,24.16,9.72,0.0
20230115:2303,0.0,0.0,0.0,24.13,9.52,0.0
20230116:0003,0.0,0.0,0.0,24.06,8.83,0.0
20230116:0103,0.0,0.0,0.0,24.02,8.34,0.0
20230116:0203,0.0,0.0,0.0,23.95,8.34,0.0
20230116:0303,0.0,0.0,0.0,23.85,8.21,0.0
20230116:0403,0.0,0.0,0.0,23.74,8.0,0.0
20230116:0503,0.0,0.0,0.0,23.66,7.86,0.0
20230116:0603,0.0,0.0,0.0,23.57,7.72,0.0
20230116:0703,0.0,0.0,0.0,23.51,7.66,0.0
20230116:0803,0.0,0.0,0.0,23.42,7.66,0.0
20230116:0903,181830.0,121.0,9.37,23.35,7.52,0.0
20230116:1003,738320.0,354.0,22.63,23.45,7.79,0.0
20230116:1103,1330807.5,602.0,36.15,23.56,7.66,0.0
20230116:1203,1763492.5,797.0,49.85,23.8,7.79,0.0
20230116:1303,2110515.0,963.0,63.65,24.12,8.07,0.0
20230116:1403,2299137.5,1056.0,77.46,24.46,8.55,0.0
20230116:1503,2370582.5,1090.0,87.64,24.7,9.03,0.0
20230116:1603,2318827.5,1062.0,74.47,24.77,9.31,0.0
20230116:1703,2095142.5,950.0,60.64,24.75,9.72,0.0
20230116:1803,1709922.5,768.0,46.86,24.59,10.14,0.0
20230116:1903,1154395.0,524.0,33.2,24.41,10.28,0.0
20230116:2003,356235.0,178.0,19.72,24.24,10.28,0.0
20230116:2103,1155.0,7.0,6.53,24.04,10.28,0.0
20230116:2203,0.0,0.0,0.0,24.13,10.0,0.0
20230116:2303,0.0,0.0,0.0,24.07,9.52,0.0
20230117:0003,0.0,0.0,0.0,24.0,8.97,0.0
20230117:0103,0.0,0.0,0.0,23.96,8.21,0.0
20230117:0203,0.0,0.0,0.0,23.91,7.59,0.0
20230117:0303,0.0,0.0,0.0,23.84,7.24,0.0
20230117:0403,0.0,0.0,0.0,23.78,7.03,0.0
20230117:0503,0.0,0.0,0.0,23.73,6.83,0.0
20230117:0603,0.0,0.0,0.0,23.68,6.76,0.0
20230117:0703,0.0,0.0,0.0,23.61,6.9,0.0
20230117:0803,0.0,0.0,0.0,23.54,7.03,0.0
20230117:0903,170995.0,114.0,9.23,23.5,7.1,0.0
20230117:1003,717970.0,345.0,22.5,23.28,7.17,0.0
20230117:1103,1296460.0,587.0,36.03,23.4,7.17,0.0
20230117:1203,1749055.0,792.0,49.73,23.61,7.03,0.0
20230117:1303,2080512.5,953.0,63.54,23.85,6.97,0.0
20230117:1403,2277715.0,1052.0,77.35,24.01,7.1,0.0
20230117:1503,2338352.5,1081.0,87.53,24.12,7.45,0.0
20230117:1603,2290530.0,1053.0,74.51,24.06,7.79,0.0
20230117:1703,2059172.5,937.0,60.69,24.04,8.0,0.0
20230117:1803,1708135.0,770.0,46.9,23.95,8.14,0.0
20230117:1903,1108855.0,505.0,33.23,23.79,7.93,0.0
20230117:2003,308192.5,156.0,19.74,23.75,7.79,0.0
20230117:2103,2255.0,8.0,6.54,23.71,7.93,0.0
20230117:2203,0.0,0.0,0.0,23.76,7.52,0.0
20230117:2303,0.0,0.0,0.0,23.76,7.52,0.0
20230118:0003,0.0,0.0,0.0,23.75,7.24,0.0
20230118:0103,0.0,0.0,0.0,23.7,6.9,0.0
20230118:0203,0.0,0.0,0.0,23.63,6.34,0.0
20230118:0303,0.0,0.0,0.0,23.52,5.72,0.0
20230118:0403,0.0,0.0,0.0,23.42,5.38,0.0
20230118:0503,0.0,0.0,0.0,23.33,5.31,0.0
20230118:0603,0.0,0.0,0.0,23.23,5.03,0.0
20230118:0703,0.0,0.0,0.0,23.16,4.62,0.0
20230118:0803,0.0,0.0,0.0,23.11,4.62,0.0
20230118:0903,165880.0,111.0,9.08,23.08,5.17,0.0
20230118:1003,702322.5,339.0,22.37,23.14,5.45,0.0
20230118:1103,1272837.5,579.0,35.91,23.27,5.86,0.0
20230118:1203,1741272.5,791.0,49.62,23.48,6.28,0.0
20230118:1303,2063380.0,948.0,63.43,23.73,6.34,0.0
20230118:1403,2257035.0,1047.0,77.23,23.9,6.34,0.0
20230118:1503,2318635.0,1076.0,87.41,23.94,6.69,0.0
20230118:1603,2288192.5,1054.0,74.55,23.78,7.24,0.0
20230118:1703,2069677.5,943.0,60.73,23.69,7.45,0.0
20230118:1803,1704092.5,770.0,46.93,23.74,7.31,0.0
20230118:1903,1102200.0,503.0,33.25,23.68,7.03,0.0
20230118:2003,438680.0,217.0,19.75,23.64,7.17,0.0
