Latitude (decimal degrees):	-21.673
Longitude (decimal degrees):	-42.080
Elevation (m):	65
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2750.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230102:0603,0.0,0.0,0.0,22.23,0.9,0.0
20230102:0703,0.0,0.0,0.0,21.98,0.69,0.0
20230102:0803,0.0,0.0,0.0,21.8,0.69,0.0
20230102:0903,188375.0,111.0,10.75,22.35,0.41,0.0
20230102:1003,622352.5,303.0,23.98,23.39,0.41,0.0
20230102:1103,1217755.0,583.0,37.47,24.37,0.34,0.0
20230102:1203,1662677.5,813.0,51.13,25.4,0.62,0.0
20230102:1303,1836505.0,912.0,64.9,26.17,0.9,0.0
20230102:1403,1696832.5,843.0,78.7,26.71,0.9,0.0
20230102:1503,1702772.5,849.0,87.07,27.39,0.97,0.0
20230102:1603,1920765.0,972.0,73.44,27.96,0.9,0.0
20230102:1703,1489152.5,721.0,59.63,27.38,1.72,0.0
20230102:1803,979082.5,461.0,45.9,25.89,3.03,0.0
20230102:1903,1018572.5,480.0,32.29,26.86,3.66,0.0
20230102:2003,527175.0,270.0,18.89,26.34,3.45,0.0
20230102:2103,0.0,5.0,5.8,25.62,2.69,0.0
20230102:2203,0.0,0.0,0.0,24.95,2.0,0.0
20230102:2303,0.0,0.0,0.0,24.26,1.72,0.0
20230103:0003,0.0,0.0,0.0,23.71,1.59,0.0
20230103:0103,0.0,0.0,0.0,23.03,1.59,0.0
20230103:0203,0.0,0.0,0.0,22.58,1.45,0.0
20230103:0303,0.0,0.0,0.0,21.97,1.1,0.0
20230103:0403,0.0,0.0,0.0,22.4,0.76,0.0
20230103:0503,0.0,0.0,0.0,22.57,0.62,0.0
20230103:0603,0.0,0.0,0.0,22.27,0.55,0.0
20230103:0703,0.0,0.0,0.0,22.47,0.41,0.0
20230103:0803,0.0,0.0,0.0,22.32,0.41,0.0
20230103:0903,196680.0,118.0,10.63,22.41,0.14,0.0
20230103:1003,384230.0,192.0,23.86,24.29,0.41,0.0
20230103:1103,1141690.0,545.0,37.35,25.59,0.9,0.0
20230103:1203,1704560.0,818.0,51.01,26.69,2.14,0.0
20230103:1303,1772100.0,858.0,64.79,27.67,2.62,0.0
20230103:1403,2108727.5,1047.0,78.61,28.63,2.48,0.0
20230103:1503,1990202.5,995.0,87.2,29.45,2.14,0.0
20230103:1603,1772595.0,884.0,73.54,30.36,1.86,0.0
20230103:1703,1690920.0,840.0,59.73,30.79,1.66,0.0
20230103:1803,1433602.5,701.0,45.98,30.72,1.59,0.0
20230103:1903,1068072.5,518.0,32.37,30.33,1.93,0.0
20230103:2003,490270.0,254.0,18.97,27.93,1.24,0.0
20230103:2103,29590.0,26.0,5.86,27.05,0.83,0.0
20230103:2203,0.0,0.0,0.0,25.83,0.28,0.0
20230103:2303,0.0,0.0,0.0,25.06,0.62,0.0
20230104:0003,0.0,0.0,0.0,24.61,0.55,0.0
20230104:0103,0.0,0.0,0.0,24.39,0.55,0.0
20230104:0203,0.0,0.0,0.0,24.24,0.41,0.0
20230104:0303,0.0,0.0,0.0,23.97,0.0,0.0
20230104:0403,0.0,0.0,0.0,23.79,0.21,0.0
20230104:0503,0.0,0.0,0.0,23.63,0.21,0.0
20230104:0603,0.0,0.0,0.0,23.63,0.28,0.0
20230104:0703,0.0,0.0,0.0,23.85,0.69,0.0
20230104:0803,0.0,0.0,0.0,23.81,0.62,0.0
20230104:0903,182820.0,110.0,10.5,23.96,0.48,0.0
20230104:1003,610390.0,300.0,23.73,25.62,0.9,0.0
20230104:1103,1265467.5,603.0,37.23,26.67,1.59,0.0
20230104:1203,1631492.5,786.0,50.9,27.6,2.0,0.0
20230104:1303,1875280.0,918.0,64.68,28.3,2.28,0.0
20230104:1403,2098167.5,1042.0,78.51,28.67,2.41,0.0
20230104:1503,2136392.5,1065.0,87.34,29.0,2.48,0.0
20230104:1603,2012257.5,999.0,73.64,29.13,2.28,0.0
20230104:1703,1743940.0,856.0,59.82,29.39,2.0,0.0
20230104:1803,1069997.5,518.0,46.07,29.19,1.38,0.0
20230104:1903,318312.5,166.0,32.45,30.87,1.31,0.0
20230104:2003,90145.0,58.0,19.03,29.82,1.1,0.0
20230104:2103,110.0,6.0,5.92,27.49,1.31,0.0
20230104:2203,0.0,0.0,0.0,26.01,0.83,0.0
20230104:2303,0.0,0.0,0.0,25.11,0.48,0.0
20230105:0003,0.0,0.0,0.0,24.77,0.48,0.0
20230105:0103,0.0,0.0,0.0,24.49,0.48,0.0
20230105:0203,0.0,0.0,0.0,24.4,0.41,0.0
20230105:0303,0.0,0.0,0.0,24.3,0.48,0.0
20230105:0403,0.0,0.0,0.0,24.34,0.34,0.0
20230105:0503,0.0,0.0,0.0,24.24,0.28,0.0
20230105:0603,0.0,0.0,0.0,24.13,0.21,0.0
20230105:0703,0.0,0.0,0.0,23.92,0.21,0.0
20230105:0803,0.0,0.0,0.0,23.68,0.28,0.0
20230105:0903,163872.5,98.0,10.37,23.66,0.34,0.0
20230105:1003,377602.5,190.0,23.61,25.31,0.34,0.0
20230105:1103,816255.0,393.0,37.11,26.59,0.69,0.0
20230105:1203,1154395.0,556.0,50.79,27.38,1.24,0.0
20230105:1303,942782.5,455.0,64.58,28.26,1.79,0.0
20230105:1403,1685667.5,834.0,78.42,29.05,1.72,0.0
20230105:1503,1688417.5,841.0,87.47,29.86,1.66,0.0
20230105:1603,1775950.0,883.0,73.74,30.55,2.07,0.0
20230105:1703,1771220.0,871.0,59.91,29.81,2.07,0.0
20230105:1803,1013540.0,497.0,46.15,29.38,0.34,0.0
20230105:1903,68860.0,47.0,32.53,28.26,1.38,0.0
20230105:2003,141762.5,82.0,19.1,26.99,1.52,0.0
20230105:2103,137.5,6.0,5.98,25.82,1.31,0.0
20230105:2203,0.0,0.0,0.0,24.88,1.17,0.0
20230105:2303,0.0,0.0,0.0,24.3,0.97,0.0
20230106:0003,0.0,0.0,0.0,23.98,0.83,0.0
20230106:0103,0.0,0.0,0.0,23.45,0.83,0.0
20230106:0203,0.0,0.0,0.0,23.23,0.69,0.0
20230106:0303,0.0,0.0,0.0,23.12,0.48,0.0
20230106:0403,0.0,0.0,0.0,23.03,0.28,0.0
20230106:0503,0.0,0.0,0.0,23.05,0.28,0.0
20230106:0603,0.0,0.0,0.0,23.05,0.28,0.0
20230106:0703,0.0,0.0,0.0,23.02,0.34,0.0
20230106:0803,0.0,0.0,0.0,22.97,0.55,0.0
20230106:0903,26702.5,24.0,10.24,22.99,0.34,0.0
20230106:1003,280390.0,144.0,23.48,23.11,0.21,0.0
20230106:1103,768542.5,366.0,36.99,23.24,0.28,0.0
20230106:1203,854727.5,408.0,50.68,23.38,0.21,0.0
20230106:1303,928372.5,443.0,64.47,23.65,0.55,0.0
20230106:1403,1101155.0,526.0,78.32,23.75,0.83,0.0
20230106:1503,407275.0,201.0,87.6,23.82,0.97,0.0
20230106:1603,539935.0,261.0,73.84,24.06,1.17,0.0
20230106:1703,507485.0,246.0,60.0,24.02,1.38,0.0
20230106:1803,759357.5,360.0,46.23,23.92,1.52,0.0
20230106:1903,404085.0,199.0,32.6,24.09,2.07,0.0
20230106:2003,28407.5,25.0,19.16,23.7,2.48,0.0
20230106:2103,16527.5,18.0,6.03,23.11,2.48,0.0
20230106:2203,0.0,0.0,0.0,22.36,2.34,0.0
20230106:2303,0.0,0.0,0.0,21.97,2.0,0.0
20230107:0003,0.0,0.0,0.0,21.73,1.38,0.0
20230107:0103,0.0,0.0,0.0,21.4,0.9,0.0
20230107:0203,0.0,0.0,0.0,21.36,0.76,0.0
20230107:0303,0.0,0.0,0.0,21.27,0.62,0.0
20230107:0403,0.0,0.0,0.0,21.21,0.76,0.0
20230107:0503,0.0,0.0,0.0,21.08,0.76,0.0
20230107:0603,0.0,0.0,0.0,20.92,0.55,0.0
20230107:0703,0.0,0.0,0.0,20.82,0.28,0.0
20230107:0803,0.0,0.0,0.0,20.77,0.41,0.0
20230107:0903,34320.0,28.0,10.11,20.76,0.62,0.0
20230107:1003,43697.5,33.0,23.36,21.04,0.48,0.0
20230107:1103,844140.0,398.0,36.88,21.24,0.14,0.0
20230107:1203,840592.5,397.0,50.57,21.74,0.48,0.0
20230107:1303,852307.5,405.0,64.37,22.18,0.28,0.0
20230107:1403,889982.5,423.0,78.23,22.21,0.34,0.0
20230107:1503,1041535.0,495.0,87.73,22.74,0.76,0.0
20230107:1603,1244100.0,591.0,73.93,22.91,1.17,0.0
20230107:1703,1021597.5,481.0,60.08,22.72,1.38,0.0
20230107:1803,961317.5,451.0,46.31,22.55,1.31,0.0
20230107:1903,145282.5,82.0,32.67,22.34,2.07,0.0
20230107:2003,30442.5,26.0,19.22,22.16,1.93,0.0
20230107:2103,192.5,6.0,6.07,21.8,1.79,0.0
20230107:2203,0.0,0.0,0.0,21.41,1.38,0.0
20230107:2303,0.0,0.0,0.0,20.93,1.03,0.0
20230108:0003,0.0,0.0,0.0,20.82,0.55,0.0
20230108:0103,0.0,0.0,0.0,20.94,0.41,0.0
20230108:0203,0.0,0.0,0.0,20.89,0.34,0.0
20230108:0303,0.0,0.0,0.0,20.79,0.28,0.0
20230108:0403,0.0,0.0,0.0,20.76,0.21,0.0
20230108:0503,0.0,0.0,0.0,20.73,0.21,0.0
20230108:0603,0.0,0.0,0.0,20.71,0.28,0.0
20230108:0703,0.0,0.0,0.0,20.77,0.41,0.0
20230108:0803,0.0,0.0,0.0,20.81,0.21,0.0
20230108:0903,45650.0,34.0,9.97,20.83,0.14,0.0
20230108:1003,167777.5,92.0,23.23,20.98,0.34,0.0
20230108:1103,447232.5,217.0,36.76,21.22,0.34,0.0
20230108:1203,484137.5,234.0,50.46,21.64,0.41,0.0
20230108:1303,619162.5,296.0,64.27,21.95,0.28,0.0
20230108:1403,1186047.5,566.0,78.14,22.18,0.48,0.0
20230108:1503,1237362.5,591.0,87.86,22.32,0.62,0.0
20230108:1603,1170180.0,559.0,74.03,22.96,0.62,0.0
20230108:1703,1110917.5,529.0,60.17,22.94,0.55,0.0
20230108:1803,468737.5,228.0,46.39,23.07,0.9,0.0
20230108:1903,86927.5,55.0,32.73,23.47,0.83,0.0
20230108:2003,30195.0,26.0,19.27,23.5,0.76,0.0
20230108:2103,49005.0,36.0,6.11,22.92,0.97,0.0
20230108:2203,0.0,0.0,0.0,22.33,1.03,0.0
20230108:2303,0.0,0.0,0.0,21.95,1.03,0.0
20230109:0003,0.0,0.0,0.0,21.6,0.97,0.0
20230109:0103,0.0,0.0,0.0,21.17,0.83,0.0
20230109:0203,0.0,0.0,0.0,21.02,0.55,0.0
20230109:0303,0.0,0.0,0.0,21.22,0.28,0.0
20230109:0403,0.0,0.0,0.0,21.21,0.21,0.0
20230109:0503,0.0,0.0,0.0,20.88,0.41,0.0
20230109:0603,0.0,0.0,0.0,20.66,0.48,0.0
20230109:0703,0.0,0.0,0.0,20.87,0.41,0.0
20230109:0803,0.0,0.0,0.0,20.78,0.41,0.0
20230109:0903,196735.0,127.0,9.84,20.86,0.48,0.0
20230109:1003,653427.5,318.0,23.11,22.07,0.48,0.0
20230109:1103,1040270.0,490.0,36.64,22.77,0.76,0.0
20230109:1203,1436517.5,686.0,50.34,23.73,0.9,0.0
20230109:1303,1637157.5,793.0,64.16,24.57,1.17,0.0
20230109:1403,1740887.5,851.0,78.04,25.04,1.31,0.0
20230109:1503,1821187.5,895.0,87.99,25.31,1.38,0.0
20230109:1603,1987755.0,983.0,74.12,26.21,1.59,0.0
20230109:1703,1187505.0,568.0,60.25,26.3,1.72,0.0
20230109:1803,592900.0,286.0,46.46,25.46,1.72,0.0
20230109:1903,211777.5,114.0,32.79,26.09,1.66,0.0
20230109:2003,38967.5,31.0,19.33,25.42,1.93,0.0
20230109:2103,165.0,6.0,6.15,24.77,1.72,0.0
20230109:2203,0.0,0.0,0.0,24.14,1.72,0.0
20230109:2303,0.0,0.0,0.0,23.59,1.45,0.0
20230110:0003,0.0,0.0,0.0,23.3,1.24,0.0
20230110:0103,0.0,0.0,0.0,23.02,0.9,0.0
20230110:0203,0.0,0.0,0.0,22.79,0.62,0.0
20230110:0303,0.0,0.0,0.0,22.58,0.41,0.0
20230110:0403,0.0,0.0,0.0,22.5,0.21,0.0
20230110:0503,0.0,0.0,0.0,22.45,0.07,0.0
20230110:0603,0.0,0.0,0.0,22.4,0.41,0.0
20230110:0703,0.0,0.0,0.0,22.47,0.76,0.0
20230110:0803,0.0,0.0,0.0,22.41,0.83,0.0
20230110:0903,158290.0,97.0,9.7,22.34,0.76,0.0
20230110:1003,309925.0,157.0,22.98,22.94,0.83,0.0
20230110:1103,271920.0,140.0,36.52,23.51,0.97,0.0
20230110:1203,362587.5,181.0,50.23,24.08,1.17,0.0
20230110:1303,342237.5,172.0,64.06,24.31,1.24,0.0
20230110:1403,368500.0,184.0,77.95,24.56,1.24,0.0
20230110:1503,436920.0,215.0,88.1,24.74,1.24,0.0
20230110:1603,786060.0,376.0,74.2,25.11,1.31,0.0
20230110:1703,985517.5,472.0,60.33,25.65,1.1,0.0
20230110:1803,611600.0,297.0,46.53,25.98,0.69,0.0
20230110:1903,178117.5,99.0,32.85,26.67,0.55,0.0
20230110:2003,29672.5,26.0,19.37,26.38,0.41,0.0
20230110:2103,50160.0,37.0,6.19,25.82,1.24,0.0
20230110:2203,0.0,0.0,0.0,24.94,1.52,0.0
20230110:2303,0.0,0.0,0.0,24.23,1.1,0.0
20230111:0003,0.0,0.0,0.0,23.37,0.97,0.0
20230111:0103,0.0,0.0,0.0,23.62,0.69,0.0
20230111:0203,0.0,0.0,0.0,23.72,0.14,0.0
20230111:0303,0.0,0.0,0.0,23.32,0.34,0.0
20230111:0403,0.0,0.0,0.0,22.9,0.48,0.0
20230111:0503,0.0,0.0,0.0,22.72,0.41,0.0
20230111:0603,0.0,0.0,0.0,22.53,0.28,0.0
20230111:0703,0.0,0.0,0.0,22.66,0.21,0.0
20230111:0803,0.0,0.0,0.0,22.54,0.34,0.0
20230111:0903,177732.5,115.0,9.57,22.7,0.34,0.0
20230111:1003,577005.0,284.0,22.85,24.3,0.48,0.0
20230111:1103,1101870.0,527.0,36.4,25.75,0.76,0.0
20230111:1203,1478180.0,713.0,50.12,27.11,1.45,0.0
20230111:1303,1560927.5,762.0,63.96,28.26,1.72,0.0
20230111:1403,1920407.5,967.0,77.86,29.26,1.45,0.0
20230111:1503,1992100.0,1025.0,88.21,29.95,0.97,0.0
20230111:1603,2030737.5,1063.0,74.29,30.2,0.48,0.0
20230111:1703,1397687.5,703.0,60.4,30.56,0.28,0.0
20230111:1803,1329047.5,647.0,46.59,29.92,1.45,0.0
20230111:1903,770742.5,378.0,32.91,29.44,0.41,0.0
20230111:2003,113850.0,69.0,19.42,27.44,0.48,0.0
20230111:2103,137.5,6.0,6.22,25.91,0.83,0.0
20230111:2203,0.0,0.0,0.0,24.74,1.24,0.0
20230111:2303,0.0,0.0,0.0,24.22,1.24,0.0
20230112:0003,0.0,0.0,0.0,23.76,0.83,0.0
20230112:0103,0.0,0.0,0.0,23.41,0.48,0.0
20230112:0203,0.0,0.0,0.0,23.52,0.28,0.0
20230112:0303,0.0,0.0,0.0,23.26,0.21,0.0
20230112:0403,0.0,0.0,0.0,22.87,0.41,0.0
20230112:0503,0.0,0.0,0.0,22.75,0.21,0.0
20230112:0603,0.0,0.0,0.0,22.57,0.14,0.0
20230112:0703,0.0,0.0,0.0,23.18,0.55,0.0
20230112:0803,0.0,0.0,0.0,23.15,0.62,0.0
20230112:0903,162387.5,103.0,9.43,23.1,0.62,0.0
20230112:1003,617760.0,305.0,22.72,24.89,0.69,0.0
20230112:1103,1172930.0,561.0,36.28,26.46,1.1,0.0
20230112:1203,1341532.5,646.0,50.01,27.69,1.59,0.0
20230112:1303,1676207.5,821.0,63.85,28.75,1.93,0.0
20230112:1403,1697272.5,839.0,77.76,29.62,2.0,0.0
20230112:1503,1948787.5,985.0,88.3,30.18,1.66,0.0
20230112:1603,1644582.5,819.0,74.37,30.51,1.66,0.0
20230112:1703,681395.0,335.0,60.47,30.54,1.66,0.0
20230112:1803,108597.5,67.0,46.66,29.3,0.28,0.0
20230112:1903,70785.0,48.0,32.96,28.38,1.52,0.0
20230112:2003,29480.0,26.0,19.46,27.64,1.52,0.0
20230112:2103,137.5,6.0,6.24,27.04,1.45,0.0
20230112:2203,0.0,0.0,0.0,26.31,1.31,0.0
20230112:2303,0.0,0.0,0.0,25.49,1.17,0.0
20230113:0003,0.0,0.0,0.0,24.82,0.97,0.0
20230113:0103,0.0,0.0,0.0,25.36,0.69,0.0
20230113:0203,0.0,0.0,0.0,25.52,0.41,0.0
20230113:0303,0.0,0.0,0.0,25.34,0.14,0.0
20230113:0403,0.0,0.0,0.0,25.0,0.28,0.0
20230113:0503,0.0,0.0,0.0,24.7,0.34,0.0
20230113:0603,0.0,0.0,0.0,24.41,0.55,0.0
20230113:0703,0.0,0.0,0.0,24.48,0.34,0.0
20230113:0803,0.0,0.0,0.0,24.2,0.55,0.0
20230113:0903,153615.0,98.0,9.29,24.23,0.48,0.0
20230113:1003,567490.0,282.0,22.6,26.23,0.76,0.0
20230113:1103,1204830.0,576.0,36.16,27.69,1.72,0.0
20230113:1203,1610207.5,778.0,49.9,28.55,2.07,0.0
20230113:1303,1914632.5,951.0,63.75,29.44,1.86,0.0
20230113:1403,2105482.5,1073.0,77.67,30.27,1.66,0.0
20230113:1503,2047925.0,1054.0,88.38,30.94,1.31,0.0
20230113:1603,2007060.0,1043.0,74.45,31.19,0.83,0.0
20230113:1703,1819482.5,942.0,60.54,31.49,0.34,0.0
20230113:1803,1517862.5,755.0,46.72,31.31,0.9,0.0
20230113:1903,1063232.5,520.0,33.01,31.86,1.72,0.0
20230113:2003,573595.0,301.0,19.49,30.67,1.79,0.0
20230113:2103,110.0,6.0,6.26,29.4,1.66,0.0
20230113:2203,0.0,0.0,0.0,28.14,1.17,0.0
20230113:2303,0.0,0.0,0.0,26.87,1.03,0.0
20230114:0003,0.0,0.0,0.0,25.79,1.03,0.0
20230114:0103,0.0,0.0,0.0,25.48,0.48,0.0
20230114:0203,0.0,0.0,0.0,25.48,0.34,0.0
20230114:0303,0.0,0.0,0.0,25.17,0.48,0.0
20230114:0403,0.0,0.0,0.0,24.53,0.69,0.0
20230114:0503,0.0,0.0,0.0,24.74,0.48,0.0
20230114:0603,0.0,0.0,0.0,24.67,0.14,0.0
20230114:0703,0.0,0.0,0.0,25.26,0.55,0.0
20230114:0803,0.0,0.0,0.0,25.09,0.48,0.0
20230114:0903,104775.0,64.0,9.15,25.03,0.34,0.0
20230114:1003,586135.0,292.0,22.47,26.2,0.48,0.0
20230114:1103,1102832.5,533.0,36.04,27.59,0.69,0.0
20230114:1203,1318817.5,642.0,49.79,28.8,1.17,0.0
20230114:1303,1883612.5,942.0,63.65,29.71,1.52,0.0
20230114:1403,2009947.5,1023.0,77.57,30.55,1.52,0.0
20230114:1503,2011267.5,1033.0,88.43,31.23,1.38,0.0
20230114:1603,1952225.0,1001.0,74.52,31.74,1.31,0.0
20230114:1703,1786510.0,904.0,60.61,31.71,1.17,0.0
20230114:1803,1435225.0,713.0,46.77,31.88,0.97,0.0
20230114:1903,1053882.5,516.0,33.06,31.83,1.59,0.0
20230114:2003,504212.5,263.0,19.53,31.19,1.93,0.0
20230114:2103,52882.5,39.0,6.28,29.83,2.41,0.0
20230114:2203,0.0,0.0,0.0,28.09,2.62,0.0
20230114:2303,0.0,0.0,0.0,26.73,2.55,0.0
20230115:0003,0.0,0.0,0.0,25.74,2.28,0.0
20230115:0103,0.0,0.0,0.0,24.9,2.0,0.0
20230115:0203,0.0,0.0,0.0,24.43,1.79,0.0
20230115:0303,0.0,0.0,0.0,24.03,1.59,0.0
20230115:0403,0.0,0.0,0.0,23.72,1.31,0.0
20230115:0503,0.0,0.0,0.0,23.49,1.1,0.0
20230115:0603,0.0,0.0,0.0,23.19,0.97,0.0
20230115:0703,0.0,0.0,0.0,22.76,1.1,0.0
20230115:0803,0.0,0.0,0.0,22.68,1.03,0.0
20230115:0903,103840.0,63.0,9.01,23.16,1.17,0.0
20230115:1003,605495.0,297.0,22.34,24.56,1.79,0.0
20230115:1103,802395.0,382.0,35.93,25.67,1.66,0.0
20230115:1203,417560.0,208.0,49.68,26.7,1.38,0.0
20230115:1303,1366860.0,665.0,63.55,27.55,1.31,0.0
20230115:1403,1662787.5,824.0,77.47,27.61,1.17,0.0
20230115:1503,1923130.0,973.0,88.46,28.81,1.24,0.0
20230115:1603,1977470.0,1003.0,74.59,29.73,1.38,0.0
20230115:1703,1909847.5,958.0,60.67,30.32,1.59,0.0
20230115:1803,1564750.0,765.0,46.82,30.45,1.79,0.0
20230115:1903,650485.0,320.0,33.1,30.86,1.72,0.0
20230115:2003,557727.5,290.0,19.56,30.07,2.28,0.0
20230115:2103,55165.0,40.0,6.3,28.58,2.69,0.0
20230115:2203,0.0,0.0,0.0,26.81,2.97,0.0
20230115:2303,0.0,0.0,0.0,25.53,2.76,0.0
20230116:0003,0.0,0.0,0.0,24.63,2.34,0.0
20230116:0103,0.0,0.0,0.0,24.1,2.14,0.0
20230116:0203,0.0,0.0,0.0,23.59,1.93,0.0
20230116:0303,0.0,0.0,0.0,23.3,1.72,0.0
20230116:0403,0.0,0.0,0.0,23.06,1.45,0.0
20230116:0503,0.0,0.0,0.0,22.56,1.17,0.0
20230116:0603,0.0,0.0,0.0,22.3,1.03,0.0
20230116:0703,0.0,0.0,0.0,21.86,0.97,0.0
20230116:0803,0.0,0.0,0.0,22.03,0.83,0.0
20230116:0903,81207.5,52.0,8.87,22.43,0.69,0.0
20230116:1003,693275.0,343.0,22.21,23.92,0.76,0.0
20230116:1103,1180850.0,562.0,35.81,25.27,1.1,0.0
20230116:1203,910580.0,436.0,49.57,26.43,1.38,0.0
20230116:1303,1558507.5,759.0,63.44,27.49,1.66,0.0
20230116:1403,1915842.5,957.0,77.37,28.19,1.59,0.0
20230116:1503,2029390.0,1030.0,88.45,29.07,1.45,0.0
20230116:1603,2053095.0,1048.0,74.65,29.72,1.31,0.0
20230116:1703,1886885.0,953.0,60.73,30.12,1.17,0.0
20230116:1803,1491407.5,733.0,46.87,30.42,1.31,0.0
20230116:1903,1093812.5,532.0,33.13,30.91,1.86,0.0
20230116:2003,575052.5,299.0,19.58,29.99,2.41,0.0
20230116:2103,49527.5,37.0,6.31,28.33,2.76,0.0
20230116:2203,0.0,0.0,0.0,26.45,3.17,0.0
20230116:2303,0.0,0.0,0.0,25.1,2.97,0.0
20230117:0003,0.0,0.0,0.0,24.26,2.55,0.0
20230117:0103,0.0,0.0,0.0,23.65,2.14,0.0
20230117:0203,0.0,0.0,0.0,23.18,1.72,0.0
20230117:0303,0.0,0.0,0.0,22.55,1.38,0.0
20230117:0403,0.0,0.0,0.0,21.97,1.1,0.0
20230117:0503,0.0,0.0,0.0,21.94,0.97,0.0
20230117:0603,0.0,0.0,0.0,22.02,0.83,0.0
20230117:0703,0.0,0.0,0.0,22.43,0.62,0.0
20230117:0803,0.0,0.0,0.0,22.38,0.41,0.0
20230117:0903,28600.0,25.0,8.73,22.27,0.28,0.0
20230117:1003,619850.0,306.0,22.08,23.71,0.48,0.0
20230117:1103,1271297.5,609.0,35.69,25.18,0.76,0.0
20230117:1203,1574760.0,767.0,49.46,26.32,0.83,0.0
20230117:1303,1790937.5,891.0,63.34,27.6,1.03,0.0
20230117:1403,1904787.5,963.0,77.28,28.3,1.03,0.0
20230117:1503,2196370.0,1135.0,88.42,29.26,1.24,0.0
20230117:1603,2085270.0,1060.0,74.71,29.82,1.59,0.0
20230117:1703,1913367.5,954.0,60.78,29.97,1.79,0.0
20230117:1803,1557765.0,754.0,46.92,29.88,2.28,0.0
20230117:1903,1108167.5,532.0,33.17,29.42,2.48,0.0
20230117:2003,576400.0,297.0,19.6,28.5,2.83,0.0
20230117:2103,46035.0,35.0,6.31,27.22,2.9,0.0
20230117:2203,0.0,0.0,0.0,25.93,2.9,0.0
20230117:2303,0.0,0.0,0.0,24.9,2.76,0.0
20230118:0003,0.0,0.0,0.0,24.29,2.34,0.0
20230118:0103,0.0,0.0,0.0,23.76,1.93,0.0
20230118:0203,0.0,0.0,0.0,23.48,1.52,0.0
20230118:0303,0.0,0.0,0.0,22.91,1.31,0.0
20230118:0403,0.0,0.0,0.0,22.42,1.1,0.0
20230118:0503,0.0,0.0,0.0,22.17,0.97,0.0
20230118:0603,0.0,0.0,0.0,22.07,0.83,0.0
20230118:0703,0.0,0.0,0.0,22.1,0.83,0.0
20230118:0803,0.0,0.0,0.0,22.17,0.76,0.0
20230118:0903,97900.0,60.0,8.59,22.34,0.76,0.0
20230118:1003,439010.0,217.0,21.95,23.4,0.9,0.0
20230118:1103,1102090.0,524.0,35.57,24.59,0.83,0.0
20230118:1203,1337380.0,645.0,49.35,26.09,0.9,0.0
20230118:1303,1598630.0,784.0,63.24,27.32,1.24,0.0
20230118:1403,1743335.0,867.0,77.17,28.28,1.38,0.0
20230118:1503,1970622.5,1001.0,88.35,29.02,1.24,0.0
20230118:1603,1832930.0,922.0,74.76,29.38,1.31,0.0
20230118:1703,1841565.0,918.0,60.83,29.92,1.59,0.0
20230118:1803,1552650.0,750.0,46.96,29.01,2.07,0.0
20230118:1903,984362.5,471.0,33.2,28.31,2.28,0.0
20230118:2003,260095.0,137.0,19.62,27.42,2.83,0.0
20230118:2103,55852.5,40.0,6.31,26.39,2.9,0.0
