Latitude (decimal degrees):	-23.013
Longitude (decimal degrees):	-44.345
Elevation (m):	260
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2750.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230109:1203,810067.5,379.0,48.44,21.8,1.72,0.0
20230109:1303,588197.5,280.0,62.17,22.37,1.72,0.0
20230109:1403,669047.5,317.0,75.96,22.72,1.79,0.0
20230109:1503,770192.5,363.0,89.08,22.74,1.93,0.0
20230109:1603,708180.0,334.0,76.29,22.44,2.0,0.0
20230109:1703,423830.0,206.0,62.49,22.2,2.28,0.0
20230109:1803,461532.5,222.0,48.76,21.59,2.41,0.0
20230109:1903,958540.0,442.0,35.16,21.35,2.55,0.0
20230109:2003,329120.0,164.0,21.74,20.94,2.07,0.0
20230109:2103,3520.0,9.0,8.62,20.89,2.0,0.0
20230109:2203,0.0,0.0,0.0,20.94,1.79,0.0
20230109:2303,0.0,0.0,0.0,21.13,1.72,0.0
20230110:0003,0.0,0.0,0.0,21.19,1.52,0.0
20230110:0103,0.0,0.0,0.0,21.3,2.0,0.0
20230110:0203,0.0,0.0,0.0,21.28,1.79,0.0
20230110:0303,0.0,0.0,0.0,21.24,1.86,0.0
20230110:0403,0.0,0.0,0.0,21.25,1.72,0.0
20230110:0503,0.0,0.0,0.0,21.19,1.93,0.0
20230110:0603,0.0,0.0,0.0,21.28,1.72,0.0
20230110:0703,0.0,0.0,0.0,21.26,1.59,0.0
20230110:0803,0.0,0.0,0.0,21.22,1.38,0.0
20230110:0903,4785.0,10.0,8.17,21.29,1.24,0.0
20230110:1003,100402.5,61.0,21.3,21.61,0.97,0.0
20230110:1103,308082.5,155.0,34.71,21.88,1.24,0.0
20230110:1203,724982.5,342.0,48.32,22.47,1.52,0.0
20230110:1303,993410.0,469.0,62.06,23.39,1.45,0.0
20230110:1403,865040.0,411.0,75.85,24.01,1.31,0.0
20230110:1503,736257.5,351.0,88.92,24.73,1.79,0.0
20230110:1603,1003777.5,475.0,76.36,24.57,2.07,0.0
20230110:1703,1155880.0,547.0,62.56,24.49,1.86,0.0
20230110:1803,1019755.0,482.0,48.83,24.62,1.59,0.0
20230110:1903,182655.0,100.0,35.21,24.46,1.38,0.0
20230110:2003,35502.5,29.0,21.79,24.3,1.17,0.0
20230110:2103,3437.5,9.0,8.65,23.66,1.03,0.0
20230110:2203,0.0,0.0,0.0,22.8,1.72,0.0
20230110:2303,0.0,0.0,0.0,22.67,2.0,0.0
20230111:0003,0.0,0.0,0.0,22.73,1.86,0.0
20230111:0103,0.0,0.0,0.0,22.62,1.66,0.0
20230111:0203,0.0,0.0,0.0,22.65,1.66,0.0
20230111:0303,0.0,0.0,0.0,22.49,1.72,0.0
20230111:0403,0.0,0.0,0.0,22.41,1.52,0.0
20230111:0503,0.0,0.0,0.0,22.15,1.66,0.0
20230111:0603,0.0,0.0,0.0,22.19,1.45,0.0
20230111:0703,0.0,0.0,0.0,22.21,1.38,0.0
20230111:0803,0.0,0.0,0.0,22.08,1.45,0.0
20230111:0903,60912.5,42.0,8.03,22.5,1.03,0.0
20230111:1003,426250.0,212.0,21.16,23.72,1.24,0.0
20230111:1103,752235.0,358.0,34.59,24.65,1.24,0.0
20230111:1203,1122522.5,537.0,48.21,25.62,0.9,0.0
20230111:1303,1293105.0,626.0,61.94,25.8,0.76,0.0
20230111:1403,1479362.5,730.0,75.74,26.07,0.41,0.0
20230111:1503,718602.5,346.0,88.75,26.01,1.31,0.0
20230111:1603,738457.5,351.0,76.43,24.13,1.79,0.0
20230111:1703,1202052.5,567.0,62.63,23.45,1.72,0.0
20230111:1803,642290.0,309.0,48.89,24.12,0.48,0.0
20230111:1903,76340.0,50.0,35.26,24.32,0.97,0.0
20230111:2003,35475.0,29.0,21.83,24.41,2.07,0.0
20230111:2103,3410.0,9.0,8.68,24.34,2.28,0.0
20230111:2203,0.0,0.0,0.0,23.04,2.55,0.0
20230111:2303,0.0,0.0,0.0,23.01,2.76,0.0
20230112:0003,0.0,0.0,0.0,22.99,2.76,0.0
20230112:0103,0.0,0.0,0.0,22.84,2.28,0.0
20230112:0203,0.0,0.0,0.0,22.65,2.14,0.0
20230112:0303,0.0,0.0,0.0,22.59,2.0,0.0
20230112:0403,0.0,0.0,0.0,22.58,2.07,0.0
20230112:0503,0.0,0.0,0.0,22.52,2.0,0.0
20230112:0603,0.0,0.0,0.0,22.62,2.07,0.0
20230112:0703,0.0,0.0,0.0,22.64,2.07,0.0
20230112:0803,0.0,0.0,0.0,22.65,2.07,0.0
20230112:0903,81235.0,52.0,7.89,22.68,2.28,0.0
20230112:1003,373642.5,187.0,21.03,23.96,2.21,0.0
20230112:1103,664565.0,317.0,34.46,24.88,1.93,0.0
20230112:1203,1537717.5,734.0,48.09,25.71,1.59,0.0
20230112:1303,983427.5,473.0,61.83,26.48,1.1,0.0
20230112:1403,1492507.5,740.0,75.63,27.09,0.48,0.0
20230112:1503,1017280.0,497.0,88.57,27.3,0.34,0.0
20230112:1603,1610702.5,801.0,76.5,27.55,0.76,0.0
20230112:1703,1671395.0,826.0,62.7,27.36,0.9,0.0
20230112:1803,1510162.5,726.0,48.95,26.54,1.38,0.0
20230112:1903,798572.5,383.0,35.31,26.02,0.83,0.0
20230112:2003,452925.0,227.0,21.87,25.27,0.14,0.0
20230112:2103,142422.5,99.0,8.7,24.38,0.21,0.0
20230112:2203,0.0,0.0,0.0,24.07,1.17,0.0
20230112:2303,0.0,0.0,0.0,23.8,1.38,0.0
20230113:0003,0.0,0.0,0.0,23.44,2.21,0.0
20230113:0103,0.0,0.0,0.0,23.33,1.79,0.0
20230113:0203,0.0,0.0,0.0,23.25,1.72,0.0
20230113:0303,0.0,0.0,0.0,23.14,1.93,0.0
20230113:0403,0.0,0.0,0.0,23.01,1.66,0.0
20230113:0503,0.0,0.0,0.0,23.05,1.52,0.0
20230113:0603,0.0,0.0,0.0,23.05,1.59,0.0
20230113:0703,0.0,0.0,0.0,23.19,1.86,0.0
20230113:0803,0.0,0.0,0.0,23.18,2.0,0.0
20230113:0903,16500.0,18.0,7.75,23.25,2.14,0.0
20230113:1003,195910.0,106.0,20.9,24.56,2.28,0.0
20230113:1103,492717.5,240.0,34.34,25.57,2.28,0.0
20230113:1203,930105.0,441.0,47.97,26.03,2.21,0.0
20230113:1303,1054212.5,505.0,61.72,26.95,1.79,0.0
20230113:1403,1868845.0,934.0,75.52,28.24,1.31,0.0
20230113:1503,1283260.0,634.0,88.39,28.72,0.69,0.0
20230113:1603,1798362.5,911.0,76.56,28.07,0.55,0.0
20230113:1703,1792065.0,886.0,62.76,27.25,1.1,0.0
20230113:1803,1073985.0,515.0,49.0,26.74,1.17,0.0
20230113:1903,328267.5,168.0,35.36,26.49,0.14,0.0
20230113:2003,35255.0,29.0,21.9,25.48,0.76,0.0
20230113:2103,3410.0,9.0,8.72,24.34,1.38,0.0
20230113:2203,0.0,0.0,0.0,22.95,1.52,0.0
20230113:2303,0.0,0.0,0.0,23.04,1.72,0.0
20230114:0003,0.0,0.0,0.0,23.28,1.93,0.0
20230114:0103,0.0,0.0,0.0,23.29,1.86,0.0
20230114:0203,0.0,0.0,0.0,23.33,1.93,0.0
20230114:0303,0.0,0.0,0.0,23.12,2.0,0.0
20230114:0403,0.0,0.0,0.0,23.19,2.0,0.0
20230114:0503,0.0,0.0,0.0,23.15,2.14,0.0
20230114:0603,0.0,0.0,0.0,23.34,2.21,0.0
20230114:0703,0.0,0.0,0.0,23.18,2.21,0.0
20230114:0803,0.0,0.0,0.0,23.13,2.14,0.0
20230114:0903,60692.5,42.0,7.6,23.35,2.14,0.0
20230114:1003,419265.0,210.0,20.77,25.57,2.55,0.0
20230114:1103,902495.0,429.0,34.22,27.11,2.41,0.0
20230114:1203,1594917.5,763.0,47.86,27.79,2.34,0.0
20230114:1303,1866150.0,912.0,61.61,28.63,2.28,0.0
20230114:1403,1911910.0,950.0,75.41,29.28,2.0,0.0
20230114:1503,1913312.5,964.0,88.2,30.16,1.66,0.0
20230114:1603,1470865.0,731.0,76.61,30.27,1.24,0.0
20230114:1703,1419275.0,701.0,62.81,29.84,1.1,0.0
20230114:1803,1452192.5,704.0,49.05,28.59,1.45,0.0
20230114:1903,1203895.0,574.0,35.4,27.84,2.07,0.0
20230114:2003,534627.5,268.0,21.93,27.88,1.86,0.0
20230114:2103,67815.0,47.0,8.74,27.32,1.31,0.0
20230114:2203,0.0,0.0,0.0,25.89,0.97,0.0
20230114:2303,0.0,0.0,0.0,24.87,1.31,0.0
20230115:0003,0.0,0.0,0.0,24.91,1.45,0.0
20230115:0103,0.0,0.0,0.0,24.21,1.52,0.0
20230115:0203,0.0,0.0,0.0,24.06,1.1,0.0
20230115:0303,0.0,0.0,0.0,23.77,1.38,0.0
20230115:0403,0.0,0.0,0.0,23.66,1.31,0.0
20230115:0503,0.0,0.0,0.0,23.75,1.17,0.0
20230115:0603,0.0,0.0,0.0,23.24,1.66,0.0
20230115:0703,0.0,0.0,0.0,23.54,1.66,0.0
20230115:0803,0.0,0.0,0.0,23.26,1.79,0.0
20230115:0903,72462.5,48.0,7.46,24.04,1.93,0.0
20230115:1003,602167.5,304.0,20.63,26.08,2.0,0.0
20230115:1103,1127912.5,538.0,34.09,27.26,1.79,0.0
20230115:1203,1580287.5,765.0,47.74,28.07,1.59,0.0
20230115:1303,1915100.0,954.0,61.5,28.72,1.45,0.0
20230115:1403,2040252.5,1039.0,75.3,29.45,1.24,0.0
20230115:1503,2082932.5,1067.0,88.0,29.93,1.31,0.0
20230115:1603,2016190.0,1017.0,76.66,29.78,1.66,0.0
20230115:1703,1890185.0,931.0,62.87,29.73,2.28,0.0
20230115:1803,1587190.0,760.0,49.1,28.13,2.41,0.0
20230115:1903,1188055.0,566.0,35.44,28.22,2.34,0.0
20230115:2003,186532.5,103.0,21.96,27.36,1.59,0.0
20230115:2103,60912.5,43.0,8.75,26.53,1.45,0.0
20230115:2203,0.0,0.0,0.0,25.87,0.14,0.0
20230115:2303,0.0,0.0,0.0,25.31,0.97,0.0
20230116:0003,0.0,0.0,0.0,25.2,0.9,0.0
20230116:0103,0.0,0.0,0.0,24.71,0.83,0.0
20230116:0203,0.0,0.0,0.0,24.37,0.28,0.0
20230116:0303,0.0,0.0,0.0,24.25,0.48,0.0
20230116:0403,0.0,0.0,0.0,24.45,0.41,0.0
20230116:0503,0.0,0.0,0.0,24.25,0.34,0.0
20230116:0603,0.0,0.0,0.0,23.62,0.9,0.0
20230116:0703,0.0,0.0,0.0,23.4,1.45,0.0
20230116:0803,0.0,0.0,0.0,23.32,1.66,0.0
20230116:0903,74497.5,49.0,7.31,23.92,1.24,0.0
20230116:1003,325902.5,167.0,20.5,25.91,1.17,0.0
20230116:1103,831765.0,401.0,33.97,27.0,0.76,0.0
20230116:1203,1490032.5,733.0,47.62,27.72,0.41,0.0
20230116:1303,1836037.5,916.0,61.39,27.93,0.97,0.0
20230116:1403,2000707.5,1002.0,75.18,28.37,1.59,0.0
20230116:1503,2081200.0,1041.0,87.79,28.76,2.07,0.0
20230116:1603,2034092.5,1003.0,76.7,28.32,2.48,0.0
20230116:1703,1828310.0,880.0,62.92,27.41,2.9,0.0
20230116:1803,1619447.5,767.0,49.14,27.03,2.97,0.0
20230116:1903,1089770.0,513.0,35.47,26.76,3.03,0.0
20230116:2003,196900.0,107.0,21.98,25.91,2.34,0.0
20230116:2103,42762.5,33.0,8.76,25.18,1.93,0.0
20230116:2203,0.0,0.0,0.0,25.03,1.66,0.0
20230116:2303,0.0,0.0,0.0,24.44,1.38,0.0
20230117:0003,0.0,0.0,0.0,24.21,1.38,0.0
20230117:0103,0.0,0.0,0.0,24.13,1.31,0.0
20230117:0203,0.0,0.0,0.0,23.93,0.97,0.0
20230117:0303,0.0,0.0,0.0,23.54,0.83,0.0
20230117:0403,0.0,0.0,0.0,23.35,0.83,0.0
20230117:0503,0.0,0.0,0.0,23.4,0.55,0.0
20230117:0603,0.0,0.0,0.0,23.36,0.83,0.0
20230117:0703,0.0,0.0,0.0,23.07,0.9,0.0
20230117:0803,0.0,0.0,0.0,22.95,0.69,0.0
20230117:0903,66770.0,45.0,7.17,22.89,0.83,0.0
20230117:1003,503635.0,253.0,20.36,24.94,0.83,0.0
20230117:1103,1028610.0,494.0,33.84,25.94,0.55,0.0
20230117:1203,1195452.5,578.0,47.51,26.74,0.62,0.0
20230117:1303,1630090.0,799.0,61.28,27.14,1.17,0.0
20230117:1403,1573275.0,764.0,75.07,27.47,2.07,0.0
20230117:1503,1361717.5,654.0,87.59,27.55,2.69,0.0
20230117:1603,1400190.0,667.0,76.74,26.84,3.17,0.0
20230117:1703,1684182.5,802.0,62.96,26.24,3.03,0.0
20230117:1803,1596842.5,754.0,49.18,25.85,2.69,0.0
20230117:1903,782375.0,371.0,35.5,26.07,2.76,0.0
20230117:2003,121522.5,72.0,22.0,25.79,2.55,0.0
20230117:2103,3382.5,9.0,8.76,25.06,1.66,0.0
20230117:2203,0.0,0.0,0.0,24.27,2.34,0.0
20230117:2303,0.0,0.0,0.0,23.97,1.93,0.0
20230118:0003,0.0,0.0,0.0,23.88,1.17,0.0
20230118:0103,0.0,0.0,0.0,23.75,0.76,0.0
20230118:0203,0.0,0.0,0.0,23.72,0.48,0.0
20230118:0303,0.0,0.0,0.0,23.46,0.28,0.0
20230118:0403,0.0,0.0,0.0,22.93,0.48,0.0
20230118:0503,0.0,0.0,0.0,23.22,0.28,0.0
20230118:0603,0.0,0.0,0.0,22.6,1.31,0.0
20230118:0703,0.0,0.0,0.0,23.27,1.45,0.0
20230118:0803,0.0,0.0,0.0,23.19,1.72,0.0
20230118:0903,70702.5,47.0,7.02,23.31,1.52,0.0
20230118:1003,558277.5,281.0,20.23,24.92,1.45,0.0
20230118:1103,952710.0,454.0,33.72,25.73,1.17,0.0
20230118:1203,1199440.0,575.0,47.39,26.19,1.03,0.0
20230118:1303,1634517.5,800.0,61.16,26.64,1.1,0.0
20230118:1403,1652640.0,810.0,74.95,27.11,1.52,0.0
20230118:1503,1823305.0,892.0,87.37,27.41,2.28,0.0
20230118:1603,1902642.5,919.0,76.77,27.19,3.17,0.0
20230118:1703,1520172.5,721.0,63.0,26.74,3.38,0.0
20230118:1803,1127885.0,535.0,49.21,27.35,2.76,0.0
20230118:1903,751465.0,356.0,35.53,25.77,3.03,0.0
20230118:2003,255860.0,133.0,22.01,24.59,3.1,0.0
20230118:2103,108927.5,70.0,8.76,23.77,2.28,0.0
20230118:2203,0.0,0.0,0.0,23.7,0.9,0.0
